#,Kana,Kanji,Type,Definition/s
1050,かんれん,関連,n,"relation, connection, relevance"
1051,かんわ,漢和,n,Chinese Character-Japanese (e.g. dictionary)
1052,き,木,n,"tree, wood, timber"
1053,き,気,n,"spirit, mood"
1054,~き,~期,,
1055,~き,~器,,
1056,~き,~機,,
1057,きあつ,気圧,n,atmospheric pressure
1058,きいろ,黄色,"adj-na,n",yellow
1059,きいろい,黄色い,adj,yellow
1060,ぎいん,議員,n,"member of the Diet, congress or parliament"
1061,きえる,消える,v1,"to go out, to vanish, to disappear"
1062,きおく,記憶,"n,vs","memory, recollection, remembrance"
1063,きおん,気温,n,temperature
1064,きかい,機会,n,"chance, opportunity"
1065,きかい,機械,n,"machine, mechanism"
1066,きかい,器械,n,instrument
1067,ぎかい,議会,n,"Diet, congress, parliament"
1068,きがえ,着替え,n,"changing clothes, change of clothes"
1069,きがえる,着替える,v1,to change one's clothes
1070,きかん,期間,n,"period, term"
1071,きかん,機関,n,"organ, mechanism, facility, engine"
1072,きかんしゃ,機関車,n,"locomotive, engine"
1073,きぎょう,企業,n,"enterprise, undertaking"
1074,ききん,飢饉,n,famine
1075,きく,聞く,v5k,"to hear, to listen, to ask"
1076,きく,効く,v5k,to be effective
1077,きぐ,器具,n,utensil
1078,きけん,危険,"adj-na,n","danger, peril, hazard"
1079,きげん,期限,n,"term, period"
1080,きげん,機嫌,n,"humour, temper, mood"
1081,きこう,気候,n,climate
1082,きごう,記号,n,"symbol, code"
1083,きこえる,聞こえる,v1,"to be heard, to be audible"
1084,きざむ,刻む,v5m,"to mince, to carve, to engrave"
1085,きし,岸,n,"bank, coast, shore"
1086,きじ,生地,n,"cloth, material"
1087,きじ,記事,n,"article, news story, report"
1088,ぎし,技師,n,"engineer, technician"
1089,ぎしき,儀式,n,"ceremony, rite, ritual, service"
1090,きしゃ,汽車,n,train (steam)
1091,きしゃ,記者,n,reporter
1092,ぎじゅつ,技術,n,"art, technique, technology, skill"
1093,きじゅん,基準,n,"standard, basis, criteria, norm"
1094,きじゅん,規準,n,"standard, basis, criteria, norm"
1095,きしょう,起床,n,"rising, getting out of bed"
1096,きず,傷,n,"wound, injury, hurt, cut"
1097,きせつ,季節,n,season
1098,きせる,着せる,v1,to put on clothes
1099,きそ,基礎,n,"foundation, basis"
1100,きそく,規則,n,"rule, regulations"
1101,きた,北,,north
1102,ギター,,n,guitar
1103,きたい,期待,"n,vs","expectation, anticipation, hope"
1104,きたい,気体,n,"vapour, gas"
1105,きたく,帰宅,"n,vs",returning home
1106,きたない,汚い,adj,"dirty, unclean, filthy"
1107,きち,基地,n,base
1108,きちょう,貴重,"adj-na,n","precious, valuable"
1109,ぎちょう,議長,n,chairman
1110,きちんと,,adv,"precisely, accurately"
1111,きつい,,adj,"tight, close, intense"
1112,きっかけ,,n,"chance, start, cue, excuse"
1113,きづく,気付く,v5k,"to notice, to recognize, to become aware of"
1114,きっと,,"adv,n","(1) surely, undoubtedly, certainly"
1115,ぎっしり,,adv,"tightly, fully"
1116,きって,切手,,stamp
1117,きっと,,"adv,n","(1) surely, undoubtedly, without fail, (2) sternly, severely"
1118,きっぷ,切符,n,ticket
1119,きにいる,気に入る,v5r,"to be pleased with, to suit"
1120,きにゅう,記入,"n,vs","entry, filling in of forms"
1121,きぬ,絹,n,silk
1122,きねん,記念,n,"commemoration, memory"
1123,きのう,昨日,"n-adv,n-t",yesterday
1124,きのう,機能,n,"function, faculty"
1125,きのどく,気の毒,"adj-na,n","pitiful, a pity"
1126,きばん,基盤,n,"foundation, basis"
1127,きびしい,厳しい,adj,"severe, strict"
1128,きふ,寄付,"n,vs","contribution, donation"
1129,きぶん,気分,n,"feeling, mood"
1130,きぼう,希望,"n,vs","hope, wish, aspiration"
1131,きほん,基本,n,"foundation, basis, standard"
1132,きまり,決まり,n,"settlement, conclusion, regulation, rule"
1133,きまる,決る,io,"(v5r) to be decided, to be settled, to look good in (clothes)"
1134,きみ,君,"n,suf","Mr (junior), master, boy"
1135,きみ,気味,n-suf,"-like, -looking, -looked"
1136,~ぎみ,~気味,,
1137,きみょう,奇妙,"adj-na,n","strange, queer, curious"
1138,ぎむ,義務,n,"duty, obligation, responsibility"
1139,きめる,決める,v1,to decide
1140,きもち,気持ち,n,"feeling, sensation, mood"
1141,きもの,着物,n,kimono
1142,ぎもん,疑問,n,"question, problem, doubt, guess"
1143,きゃく,客,n,"guest, customer"
1144,ぎゃく,逆,"adj-na,n","reverse, opposite"
1145,きゃくせき,客席,n,guest seating
1146,きゃくま,客間,n,"parlor, guest room"
1147,キャプテン,,n,captain
1148,ギャング,,n,gang
1149,キャンパス,,n,campus
1150,キャンプ,,n,camp
1151,きゅう,九,num,nine
1152,きゅう,旧,"n,pref",ex-
1153,きゅう,級,"n,n-suf","class, grade, rank, school class, grade"
1154,きゅう,球,n,"globe, sphere, ball"
1155,きゅうか,休暇,n,"holiday, day off, furlough"
1156,きゅうぎょう,休業,n,"closed (e.g. store), business suspended, shutdown, holiday"
1157,きゅうけい,休憩,"n,vs","rest, break, recess, intermission"
1158,きゅうげき,急激,"adj-na,n","sudden, precipitous, radical"
1159,きゅうこう,急行,n,express (e.g. train that bypasses many stations)
1160,きゅうこう,休講,n,lecture cancelled
1161,きゅうしゅう,吸収,"n,vs","absorption, suction, attraction"
1162,きゅうじょ,救助,"n,vs","relief, aid, rescue"
1163,きゅうそく,急速,"adj-na,n",rapid (e.g. progress)
1164,きゅうそく,休息,n,"rest, relief, relaxation"
1165,きゅうに,急に,,
1166,ぎゅうにゅう,牛乳,n,(cow's) milk
1167,きゅうよ,給与,"n,vs","allowance, grant, supply"
1168,きゅうよう,休養,n,"rest, break, recreation"
1169,きゅうりょう,給料,n,"salary, wages"
1170,きよい,清い,adj,"clear, pure, noble"
1171,きよう,器用,"adj-na,n","skillful, handy"
1172,きょう,今日,n-t,"today, this day"
1173,~きょう,~教,,
1174,~ぎょう,~行,,
1175,~ぎょう,~業,,
1176,きょうか,強化,"n,vs","strengthen, intensify, reinforce, solidify"
1177,きょうかい,教会,n,church
1178,きょうかい,境界,n,boundary
1179,きょうかしょ,教科書,n,text book
1180,きょうぎ,競技,n,"game, match, contest"
1181,ぎょうぎ,行儀,n,manners
1182,きょうきゅう,供給,"n,vs","supply, provision"
1183,きょうさん~,共産~,,
1184,きょうし,教師,n,teacher (classroom)
1185,ぎょうじ,行事,n,"event, function"
1186,きょうしつ,教室,n,classroom
1187,きょうじゅ,教授,n,"teaching, instruction, professor"
1188,きょうしゅく,恐縮,"exp,n","shame, very kind of you, sorry to trouble"
1189,きょうそう,競争,"n,vs","competition, contest"
1190,きょうだい,兄弟,n,(hum) siblings
1191,きょうちょう,強調,"n,vs","emphasis, stress, stressed point"
1192,きょうつう,共通,"adj-na,adj-no,n,vs","commonness, community"
1193,きょうどう,共同,n,"cooperation, association, collaboration, joint"
1194,きょうふ,恐怖,"n,vs","be afraid, dread, dismay, terror"
1195,きょうみ,興味,n,interest (in something)
1196,きょうよう,教養,n,"culture, education, refinement, cultivation"
1197,きょうりょく,協力,"n,vs","cooperation, collaboration"
1198,きょうりょく,強力,"adj-na,n","herculean strength, mountain carrier-guide"
1199,ぎょうれつ,行列,"n,vs","(1) line, procession, (2) matrix (math)"
1200,きょか,許可,"n,vs","permission, approval"
1201,ぎょぎょう,漁業,n,fishing (industry)
1202,きょく,局,n,"court lady, lady in waiting"
1203,きょくせん,曲線,n,curve
1204,きょだい,巨大,"adj-na,n","huge, gigantic, enormous"
1205,きょねん,去年,"n-adv,n-t",last year
1206,きらい,嫌い,"adj-na,n","dislike, hate"
1207,きらう,嫌う,v5u,"to hate, to dislike, to loathe"
1208,きり,霧,n,"fog, mist"
1209,きりつ,規律,n,"order, rules, law"
1210,きる,切る,"suf,v5r","to cut, to chop, to slice"
1211,きる,斬る,oK,"(v5r) to behead, to murder"
1212,~きる,,,
1213,きれ,切れ,n,"cloth, piece, cut, chop"
1214,~きれ,~切れ,,
1215,きれい,,adj-na,"pretty, clean, nice, tidy"
1216,きれる,切れる,v1,"(1) to cut well, to be sharp, (2) to break (off)"
1217,キロ,,"n,pref","(abbr) kilo-, kilogram, kilometre, 10^3"
1218,きろく,記録,"n,vs","record, minutes, document"
1219,ぎろん,議論,"n,vs","argument, discussion, dispute"
1220,きをつける,気を付ける,exp,"to be careful, to pay attention, to take care"
1221,きん,金,"n,n-suf","(1) gold, (2) gold general (shogi) (abbr)"
1222,ぎん,銀,n,"(1) silver, silver coin, silver paint"
1223,きんえん,禁煙,exp,No Smoking!
1224,きんがく,金額,n,amount of money
1225,きんぎょ,金魚,n,goldfish
1226,きんこ,金庫,n,"safe, vault, treasury, provider of funds"
1227,ぎんこう,銀行,n,bank
1228,きんし,禁止,"n,vs","prohibition, ban"
1229,きんじょ,近所,n,neighbourhood
1230,きんせん,金銭,n,"money, cash"
1231,きんぞく,金属,n,metal
1232,きんだい,近代,n,present day
1233,きんちょう,緊張,"n,vs","tension, mental strain, nervousness"
1234,きんにく,筋肉,n,"muscle, sinew"
1235,きんゆう,金融,n,"monetary circulation, credit situation"
1236,きんよう,金曜,"n-adv,n-t",(abbr) Friday
1237,く,九,num,nine
1238,く,句,,sentence
1239,ぐあい,具合,n,"condition, state, manner, health"
1240,くいき,区域,n,"limits, boundary, domain, zone, sphere, territory"
1241,くう,食う,v5u,(male) (vulg) to eat
1242,くう~,空~,,
1243,くうき,空気,n,"air, atmosphere"
1244,くうこう,空港,n,airport
1245,ぐうすう,偶数,n,even number
1246,ぐうぜん,偶然,"adj-na,adj-no,n-adv,n","(by) chance, unexpectedly, suddenly"
1247,くうそう,空想,n,"daydream, fantasy, fancy, vision"
1248,くうちゅう,空中,n,"sky, air"
1249,クーラー,,n,"cooler, air conditioner"
1250,くぎ,釘,n,nail
1251,くぎる,区切る,"v5r,vt","to punctuate, to cut off, to mark off, to stop, to put an end to"
1252,くさ,草,n,grass
1253,くさい,臭い,n,"odour, scent, smell, stench"
1254,くさり,鎖,n,chain
1255,くさる,腐る,v5r,"to rot, to go bad"
1256,くし,櫛,n,comb
1257,くしゃみ,,n,sneeze
1258,くじょう,苦情,n,"complaint, troubles, objection"
1259,くしん,苦心,"n,vs","pain, trouble"
1260,くず,屑,n,"waste, scrap"
1261,くずす,崩す,v5s,"to destroy, to pull down, to make change (money)"
1262,くすり,薬,n,medicine
1263,くすりゆび,薬指,n,ring finger
1264,くずれる,崩れる,v1,"to collapse, to crumble"
1265,くせ,癖,n,"a habit (often a bad habit), peculiarity"
1266,くだ,管,"n,n-suf","pipe, tube"
1267,ぐたい,具体,n,"concrete, tangible, material"
1268,くだく,砕く,"v5k,vt","to break, to smash"
1269,くだける,砕ける,"v1,vi","to break, to be broken"
1270,くださる,下さる,v5aru,"(hon) to give, to confer"
1271,くたびれる,,v1,"to get tired, to wear out"
1272,くだもの,果物,n,fruit
1273,くだらない,,adj,"good-for-nothing, stupid, trivial, worthless"
1274,くだり,下り,"n,n-suf",down-train (going away from Tokyo)
1275,くだる,下る,v5r,"to get down, to descend"
1276,くち,口,n,"mouth, orifice, opening"
1277,~くち,~口,,
1278,くちびる,唇,n,lips
1279,くちべに,口紅,n,lipstick
1280,くつ,靴,n,"shoes, footwear"
1281,くつう,苦痛,"adj-na,n","pain, agony"
1282,くつした,靴下,n,socks
1283,くっつく,,v5k,"to adhere to, to keep close to"
1284,くっつける,,v1,to attach
1285,ぐっすり,,adv,"sound asleep, fast asleep"
1286,くどい,,adj,"verbose, importunate, heavy (taste)"
1287,くとうてん,句読点,n,punctuation marks
1288,くに,国,n,country
1289,くばる,配る,v5r,"to distribute, to deliver"
1290,くび,首,n,neck
1291,くふう,工夫,n,"device, scheme"
1292,くぶん,区分,n,"division, section, classification"
1293,くべつ,区別,"n,vs","distinction, differentiation, classification"
1294,くみ,組,n,"class, group, team, set"
1295,くみあい,組合,n,"association, union"
1296,くみあわせ,組合せ,n,combination
1297,くみたてる,組み立てる,v1,"to assemble, to set up, to construct"
1298,くむ,組む,v5m,to put together
1299,くむ,汲む,v5m,"(1) to draw (water), to dip, to scoop, to pump"
1300,くむ,酌む,v5m,to serve sake
1301,くも,雲,n,cloud
1302,くもり,曇,n,"cloudiness, cloudy weather, shadow"
1303,くもる,曇る,v5r,"to become cloudy, to become dim"
1304,くやしい,悔しい,adj,"regrettable, mortifying, vexing"
1305,くやむ,悔やむ,v5m,to mourn
1306,くらい,位,"n-adv,n,suf,vs","grade, rank, about"
1307,くらい,暗い,adj,"dark, gloomy"
1308,~くらい,,,
1309,くらし,暮らし,n,"living, livelihood, subsistence, circumstances"
1310,クラシック,,"adj-na,n",classic(s)
1311,クラス,,n,class
1312,くらす,暮らす,v5s,"to live, to get along"
1313,グラス,,n,"(1) glass, (2) grass"
1314,くらべる,比べる,v1,to compare
1315,グラム,,n,gram
1316,グランド,,n,"gland, grand, (electrical) ground"
1317,クリーニング,,n,"cleaning, dry cleaning, laundry service"
1318,クリーム,,n,cream
1319,くりかえす,繰り返す,v5s,"to repeat, to do something over again"
1320,クリスマス,,n,Christmas
1321,くる,来る,vk,"to come, to come to hand, to arrive"
1322,くるう,狂う,v5u,"to go mad, to get out of order"
1323,グループ,,n,group
1324,くるしい,苦しい,adj,"painful, difficult"
1325,くるしむ,苦しむ,v5m,"to suffer, to groan, to be worried"
1326,くるま,車,n,"car, vehicle, wheel"
1327,くるむ,,v5m,"to be engulfed in, to be enveloped by, to wrap up"
1328,くれ,暮れ,"n-adv,n","year end, sunset, nightfall, end"
1329,くれぐれも,,adv,"repeatedly, sincerely, earnestly"
1330,くれる,,v1,"to get dark, to end, to come to an end, to close, to run out"
1331,くれる,暮れる,v1,"to get dark, to end, to come to an end"
1332,くろ,黒,n,"(1) black, (2) dark"
1333,くろい,黒い,adj,"(1) black, (2) dark"
1334,くろう,苦労,"adj-na,n,vs","troubles, hardships"
1335,くわえる,加える,v1,"to append, to sum up, to add (up)"
1336,くわえる,咥える,,
1337,くわしい,詳しい,adj,"knowing very well, detailed, full, accurate"
1338,くわわる,加わる,v5r,"to join in, to accede to, to increase, to gain in (influence)"
1339,くん,訓,n,native Japanese reading of a Chinese character
1340,~くん,~君,suffix,Mr. (used only for young men or boys)
1341,ぐん,軍,"n,n-suf","army, force, troops"
1342,ぐん,郡,n,"country, district"
1343,ぐんたい,軍隊,n,"army, troops"
1344,くんれん,訓練,"n,vs","practice, training"
1345,け,毛,n,"hair, fur"
1346,~け,~家,,
1347,げ,下,n,"under, below, beneath"
1348,けい,計,"n,n-suf",plan
1349,~けい,~形,,
1350,~けい,~型,,
1351,けいい,敬意,n,"respect, honour"
1352,けいえい,経営,"n,vs","management, administration"
1353,けいかく,計画,"n,vs","plan, project, schedule, scheme, program"
1354,けいかん,警官,n,policeman
1355,けいき,景気,n,"condition, state, business (condition)"
1356,けいけん,経験,"n,vs",experience
1357,けいこ,稽古,n,"practice, training, study"
1358,けいご,敬語,n,"honorific, term of respect"
1359,けいこう,傾向,n,"tendency, trend, inclination"
1360,けいこうとう,蛍光灯,n,"fluorescent lamp, person who is slow to react"
1361,けいこく,警告,"n,vs","warning, advice"
1362,けいざい,経済,n,"economics, business, finance, economy"
1363,けいさつ,警察,n,police
1364,けいさん,計算,"n,vs","calculation, reckoning"
1365,けいじ,掲示,"n,vs","notice, bulletin"
1366,けいじ,刑事,n,"criminal case, (police) detective"
1367,けいしき,形式,n,"form, formality, format, math expression"
1368,げいじゅつ,芸術,n,"(fine) art, the arts"
1369,けいぞく,継続,"n,vs",continuation
1370,けいと,毛糸,n,knitting wool
1371,けいど,経度,n,longitude
1372,けいとう,系統,n,"system, family line, geological formation"
1373,げいのう,芸能,n,"public entertainment, accomplishments, attainments"
1374,けいば,競馬,n,horse racing
1375,けいび,警備,"n,vs","defense, guard, policing, security"
1376,けいやく,契約,n,"contract, compact, agreement"
1377,けいゆ,経由,n,"go by the way, via"
1378,けいようし,形容詞,n,"""true"" adjective"
1379,けいようどうし,形容動詞,n,"adjectival noun, quasi-adjective"
1380,ケーキ,,n,cake
1381,ケース,,n,case
1382,ゲーム,,n,game
1383,けが,怪我,"n,vs","injury (to animate object), hurt"
1384,げか,外科,n,surgical department
1385,けがわ,毛皮,n,"fur, skin, pelt"
1386,げき,劇,n,"drama, play"
1387,げきじょう,劇場,n,"theatre, playhouse"
1388,げきぞう,激増,"n,vs",sudden increase
1389,けさ,今朝,ik,(n-t) this morning
1390,けしき,景色,n,"scenery, scene, landscape"
1391,けしゴム,消しゴム,n,"eraser, India rubber"
1392,げしゃ,下車,"n,vs","alighting, getting off"
1393,げしゅく,下宿,"n,vs","boarding, lodging, boarding house"
1394,げじゅん,下旬,"n-adv,n-t",month (last third of)
1395,けしょう,化粧,n,make-up (cosmetic)
1396,けす,消す,v5s,"to erase, to delete, to turn off power"
1397,げすい,下水,n,"drainage, sewage, ditch, gutter, sewerage"
1398,けずる,削る,v5r,"to cut down little by little, to take a percentage"
1399,けた,桁,n,"column, beam, digit"
1400,げた,下駄,n,"geta (Japanese footwear), wooden clogs"
1401,けち,,"adj-na,n,vs","stinginess, miser, miserliness"
1402,けつあつ,血圧,n,blood pressure
1403,けつえき,血液,n,blood
1404,けっか,結果,"n-adv,n-t","result, consequence"
1405,けっかん,欠陥,n,"defect, fault, deficiency"
1406,げっきゅう,月給,n,monthly salary
1407,けっきょく,結局,"n-adv,n","after all, eventually"
1408,けっこう,結構,"adj-na,n-adv,n","(1) splendid, nice, wonderful"
1409,けっこん,結婚,"adj-no,n,vs",marriage
1410,けっさく,傑作,"adj-na,n","masterpiece, best work, boner, blunder"
1411,けっして,決して,adv,"never, by no means"
1412,けっしん,決心,"n,vs","determination, resolution"
1413,けっせき,欠席,"n,vs","absence, non-attendance"
1414,けってい,決定,n,"decision, determination"
1415,けってん,欠点,n,"faults, defect, weakness"
1416,げつまつ,月末,"n-adv,n-t",end of the month
1417,げつよう,月曜,"n-adv,n-t",Monday
1418,けつろん,結論,n,conclusion
1419,けはい,気配,n,"indication, market trend, worry"
1420,げひん,下品,"adj-na,n","vulgarity, meanness, indecency, coarseness"
1421,けむい,煙い,adj,smoky
1422,けむり,煙,n,"smoke, fumes"
1423,ける,蹴る,v5r,to kick
1424,,けれど/けれども,conj,"but, however"
1425,けわしい,険しい,adj,"inaccessible place, sharp eyes"
1426,けん,券,"n,n-suf","ticket, coupon, bond, certificate"
1427,けん,県,n,prefecture
1428,けん,軒,n,eaves
1429,~けん,~権,,
1430,げん~,現~,,
1431,げんいん,原因,n,"cause, origin, source"
1432,けんか,喧嘩,n,"quarrel, (drunken) brawl, failure"
1433,けんかい,見解,n,"opinion, point of view"
1434,げんかい,限界,n,"limit, bound"
1435,けんがく,見学,"n,vs","inspection, study by observation, field trip"
1436,げんかん,玄関,n,"entranceway, entry hall"
1437,げんき,元気,"adj-na,n","health(y), robust, vigor, energy"
1438,けんきゅう,研究,"n,vs","study, research, investigation"
1439,けんきょ,謙虚,"adj-na,n","modesty, humility"
1440,げんきん,現金,"adj-na,n","cash, ready money, mercenary, self-interested"
1441,げんご,言語,n,language
1442,けんこう,健康,"adj-na,n","health, sound, wholesome"
1443,げんこう,原稿,n,"manuscript, copy"
1444,けんさ,検査,"n,vs","inspection (e.g. customs, factory), examination"
1445,げんざい,現在,"n-adv,n-t","present, up to now, nowadays, modern times, current"
1446,げんさん,原産,n,"place of origin, habitat"
1447,げんし,原始,n,"origin, primeval"
1448,げんじつ,現実,n,reality
1449,けんしゅう,研修,"n,vs",training
1450,げんじゅう,厳重,"adj-na,n","strict, rigour, severe, firm"
1451,げんしょう,現象,n,phenomenon
1452,げんじょう,現状,n,"present condition, existing state, status quo"
1453,けんせつ,建設,"n,vs","construction, establishment"
1454,けんそん,謙遜,"adj-na,n","humble, humility, modesty"
1455,げんだい,現代,"adj-no,n-adv,n","nowadays, modern times, present-day"
1456,けんちく,建築,"n,vs","construction, architecture"
1457,けんちょう,県庁,n,prefectural office
1458,げんど,限度,n,"limit, bounds"
1459,けんとう,見当,n,"be found, aim, estimate, guess, approx"
1460,けんとう,検討,"n,vs","consideration, examination, investigation, study, scrutiny"
1461,げんに,現に,adv,"actually, really"
1462,げんば,現場,n,"actual spot, scene, scene of the crime"
1463,けんびきょう,顕微鏡,n,microscope
1464,けんぶつ,見物,n,"a sight, an attraction, something worth seeing"
1465,けんぽう,憲法,n,constitution
1466,けんめい,懸命,"adj-na,n","eagerness, earnestness, risking one's life"
1467,けんり,権利,n,"right, privilege"
1468,げんり,原理,n,"principle, theory, fundamental truth"
1469,げんりょう,原料,n,raw materials
1470,こ,子,n,"first sign of Chinese zodiac (The Rat, 11pm-1am, north, November)"
1471,こ~,小~,,
1472,~こ,~個,,
1473,~こ,~湖,,
1474,ご,五,num,five
1475,ご,後,"adj-no,n","afterwards, since then, in the future"
1476,ご,語,"n,n-suf","language, word"
1477,ご,碁,n,Go (board game of capturing territory)
1478,~ご,~御,,
1479,こい,恋,"n,vs","love, tender passion"
1480,こい,濃い,adj,"thick (as of color, liquid), dense, strong"
1481,こいしい,恋しい,adj,"(1) dear, beloved, darling, (2) yearned for"
1482,こいびと,恋人,n,"lover, sweetheart"
1483,こう,請う,n,"to ask, to request"
1484,こう~,高~,,
1485,~こう,~校,,
1486,~こう,~港,,
1487,~ごう,~号,,
1488,こういん,工員,n,factory worker
1489,ごういん,強引,"adj-na,n","overbearing, coercive, pushy, forcible, high-handed"
1490,こううん,幸運,"adj-na,n","good luck, fortune"
1491,こうえん,公園,n,(public) park
1492,こうえん,講演,"n,vs","lecture, address"
1493,こうか,効果,"n,adj-no","effect, effectiveness, efficacy, result"
1494,こうか,硬貨,n,coin
1495,こうか,高価,"adj-na,n",high price
1496,ごうか,豪華,"adj-na,n","wonderful, gorgeous, splendor, pomp, extravagance"
1497,こうがい,郊外,n,"suburb, outskirts"
1498,こうがい,公害,n,"public nuisance, pollution"
1499,ごうかく,合格,"n,vs","success, passing (e.g. exam), eligibility"
1500,こうかん,交換,"n,vs","exchange, interchange, reciprocity"
1501,こうぎ,講義,"n,vs",lecture
1502,こうきゅう,高級,"adj-na,n","high class, high grade"
1503,こうきょう,公共,"adj-no,n","public, community, public service, society, communal"
1504,こうぎょう,工業,n,(manufacturing) industry
1505,こうくう,航空,n,"aviation, flying"
1506,こうけい,光景,n,"scene, spectacle"
1507,こうげい,工芸,n,industrial arts
1508,ごうけい,合計,"n,vs","sum total, total amount"
1509,こうげき,攻撃,"n,vs","attack, strike, offensive, criticism, censure"
1510,こうけん,貢献,"n,vs","contribution, services"
1511,こうこう,孝行,"adj-na,n",filial piety
1512,こうこう,高校,n,senior high school
1513,こうこく,広告,n,advertisement
1514,こうさ,交差,"n,vs",cross
1515,こうさい,交際,"n,vs","company, friendship, association, society, acquaintance"
1516,こうさてん,交差点,n,"crossing, intersection"
1517,こうし,講師,n,lecturer
1518,こうじ,工事,n,construction work
1519,こうしき,公式,"adj-na,n","formula, formality, official"
1520,こうじつ,口実,n,excuse
1521,こうして,こうして,,thus
1522,こうしゃ,校舎,n,school building
1523,こうしゃ,後者,n,the latter
1524,こうしゅう,公衆,n,the public
1525,こうじょう,工場,n,"factory, plant, mill, workshop"
1526,こうば,工場,n,"factory, plant, mill, workshop"
1527,こうすい,香水,n,perfume
1528,こうせい,公正,"adj-na,n","justice, fairness, impartiality"
1529,こうせい,構成,"n,vs","organization, composition"
1530,こうせき,功績,n,"achievements, merit, meritorious service, meritorious deed"
1531,こうせん,光線,n,"beam, light ray"
1532,こうそう,高層,n,upper
1533,こうぞう,構造,n,"structure, construction"
1534,こうそく,高速,"adj-na,n","high speed, high gear"
1535,こうたい,交替,"n,vs","alternation, change, relief, relay, shift"
1536,こうち,耕地,n,arable land
1537,こうちゃ,紅茶,n,black tea
1538,こうつう,交通,n,"communication, transportation, traffic, intercourse"
1539,こうつうきかん,交通機関,n,transportation facilities
1540,こうてい,校庭,n,campus
1541,こうてい,肯定,n,"positive, affirmation"
1542,こうど,高度,"adj-na,n","altitude, height, advanced"
1543,こうとう,高等,"adj-na,n","high class, high grade"
1544,こうどう,行動,"n,vs","action, conduct, behaviour, mobilization"
1545,こうどう,講堂,n,auditorium
1546,ごうとう,強盗,n,"robbery, burglary"
1547,ごうどう,合同,"adj-na,n","combination, incorporation, union, amalgamation"
1548,こうとうがっこう,高等学校,,senior high school
1549,こうはい,後輩,n,junior (at work or school)
1550,こうばん,交番,n,police box
1551,こうひょう,公表,"n,vs","official announcement, proclamation"
1552,こうふく,幸福,"adj-na,n","happiness, blessedness"
1553,こうぶつ,鉱物,n,mineral
1554,こうへい,公平,"adj-na,n","fairness, impartial, justice"
1555,こうほ,候補,n,candidacy
1556,こうむ,公務,n,"official business, public business"
1557,こうもく,項目,n,item
1558,こうよう,紅葉,n,(1) (Japanese) maple
1559,ごうり,合理,n,rational
1560,こうりゅう,交流,n,"alternating current, intercourse, (cultural) exchange, intermingling"
1561,ごうりゅう,合流,"n,vs","confluence, union, linking up, merge"
1562,こうりょ,考慮,"n,vs","consideration, taking into account"
1563,こうりょく,効力,n,"effect, efficacy, validity, potency"
1564,こえ,声,n,voice
1565,こえる,越える,v1,"to exceed, to cross over, to cross"
1566,こえる,超える,v1,"to exceed, to cross over, to cross"
1567,コース,,n,course
1568,コーチ,,n,coach
1569,コート,,n,"coat, tennis court"
1570,コード,,n,"code, cord, chord"
1571,コーヒー,,n,coffee
1572,コーラス,,n,chorus
1573,こおり,氷,,"ice, hail"
1574,こおる,凍る,v5r,"to freeze, to be frozen over, to congeal"
1575,ゴール,,n,goal
1576,ごかい,誤解,"n,vs",misunderstanding
1577,ごがく,語学,n,language study
1578,こがす,焦がす,v5s,"to burn, to scorch, to singe, to char"
1579,こきゅう,呼吸,"n,vs","breath, respiration"
1580,こきょう,故郷,n,"home town, birthplace, old village, historic village"
1581,~こく,~国,,
1582,ごく,極,"adv,n","quite, very"
1583,こくおう,国王,n,king
1584,こくご,国語,n,national language
1585,こくさい,国際,n,international
1586,こくせき,国籍,n,nationality
1587,こくばん,黒板,n,blackboard
1588,こくふく,克服,n,"subjugation, conquest"
1589,こくみん,国民,n,"national, people, citizen"
1590,こくもつ,穀物,n,"grain, cereal, corn"
1591,こくりつ,国立,n,national
1592,ごくろうさま,,"adj-na,n",Thank you very much for your....
1593,こげる,焦げる,"v1,vi","to burn, to be burned"
1594,ここ,ここ,n,here
1595,ごご,午後,"n-adv,n-t","afternoon, p.m., pm"
1596,こごえる,凍える,v1,"to freeze, to be chilled, to be frozen"
1597,ここのか,九日,,"nine days, the ninth day (of the month)"
1598,ここのつ,九つ,n,nine
1599,こころ,心,n,"core, heart, wick, marrow"
1600,こころあたり,心当たり,n,"having some knowledge of, happening to know"
1601,こころえる,心得る,v1,"to be informed, to have thorough knowledge"
1602,こし,腰,n,hip
1603,こしかけ,腰掛け,n,"seat, bench"
1604,こしかける,腰掛ける,v1,to sit (down)
1605,ごじゅうおん,五十音,n,the Japanese syllabary
1606,こしょう,故障,"n,vs","break-down, failure, accident, out of order"
1607,こしょう,胡椒,n,pepper
1608,こしらえる,,v1,"to make, to manufacture"
1609,こじん,個人,"adj-no,n","individual, private person, personal, private"
1610,こす,越す,v5s,to go over (e.g. with audience)
1611,こす,超す,v5s,"to cross, to pass, to tide over"
1612,こする,擦る,v5r,"to rub, to chafe, to file, to frost (glass), to strike (match)"
1613,ごぜん,午前,"n-adv,n-t","morning, A.M."
1614,ごぞんじですか,,,
1615,こたい,個体,n,an individual
1616,こたえ,答,n,"answer, response"
1617,こたえる,答える,v1,"to answer, to reply"
1618,ごちそう,御馳走,"n,vs","feast, treating (someone)"
1619,ごちそうさま,,int,feast
1620,こちら,,n,"(1) this person, (2) this direction, (3) this side"
